id,name,party,position,state,state_id,district,district_id,incumbency,sv_pp,ine_profile,age,sex,webpage,social_media,prop_1,prop_2,prop_gender,ine_pp,sv_d,ine_d,webpage_d,social_media_d,facebook,instagram,twitter,youtube,tiktok,morena,pan,pri,pt,pvem,mc,prd,ind
13adripri,adriana morales vazquez,pri,dep,aguascalientes,1,3-aguascalientes,3,0,https://datacenter.sabervotar.mx/public/images/candidatos/686553748-T-1713368348.jpg,https://candidaturas.ine.mx/detalleCandidato/7616/4,27,f,NA,https://www.facebook.com/adrimorales03?locale=es_la,NA,NA,NA,https://candidaturas.ine.mx/cycc/img/fotocandidato/NA.jpg,1,0,0,1,https://www.facebook.com/adrimorales03?locale=es_la,NA,NA,NA,NA,0,0,1,0,0,0,0,0
12aldosig,aldo emmanuel ruiz sanchez,sigamos haciendo historia,dep,aguascalientes,1,2-aguascalientes,2,0,https://datacenter.sabervotar.mx/public/images/candidatos/1890920225-T-1713491625.jpg,https://candidaturas.ine.mx/detalleCandidato/4334/4,36,m,NA,"https://www.facebook.com/aldoruiz.ags, https://twitter.com/aldoruizags4t","para modificar y adecuar la normatividad sobre el consumo y uso adecuado del agua potable en el estado de aguascalientes, para evitar la escasez del vital líquido. así como, la obligación para la autoridad de los diferentes niveles de gobierno para establecer un plan de obra pública en la que se destine mayor recurso en este rubro para el aprovechamiento del agua pluvial mediante la captación en registros exclusivos.","para garantizar y maximizar los derechos de los trabajadores para mejorar las condiciones laborales que propicien la posibilidad de convivencia y aprovechamiento en tiempo para desarrollar mejores relaciones familiares. entre estas propuestas, se abarcan temas como la reducción de la jornada laboral a 40 horas, el incremento del aguinaldo, la disminución de 15 a 12 años para obtener la prima de antigüedad y el derecho a la desconexión digital, prometen transformar por completo el panorama laboral del país. actualmente, el entorno laboral en méxico se caracteriza por largas jornadas de trabajo, beneficios limitados y un difícil equilibrio entre la vida laboral y personal. a pesar de que nuestro país tiene una de las jornadas laborales más largas de la ocde, esto no se traduce en mayor productividad.","a la propuesta de nuestra plataforma electoral, se ha buscado que este proyecto de nación considere en todas sus partes el principio de la equidad de género. la patria con justicia y democracia a la que aspiramos debe respetar, promover y garantizar los derechos de las mujeres con políticas públicas incluyentes que aseguren la equidad efectiva entre mujeres y hombres y que atiendan las intolerables expresiones de violencia, abuso y acoso a las que están expuestas las primeras en todos los entornos sociales, en todas las regiones del territorio nacional, a todas horas del día. aunque la seguridad de las mujeres y su igualdad con respecto a los hombres se encuentren enunciadas en la ley, es un hecho que enfrentan mayores grados de violencia y discriminación y que sus derechos son regularmente denegados en la práctica. pero sobre todo la causa que abandero es la de la política incluyente para personas con discapacidad, a quienes desde nuestra trinchera debemos inspirar y brindarles condiciones que faciliten su movilidad e inclusión a la vida diaria, a fin de que no dejen de tener sueños, y no se limiten para lograrlos. todo a fin de crear un proyecto incluyente, para eliminar las brechas de desigualdad entre mujeres y hombres y eliminar los obstáculos que enfrentan las primeras en todos los ámbitos para avanzar en su autonomía física, económica y política y para asegurar su integridad física y emocional.",https://candidaturas.ine.mx/cycc/img/fotocandidato/NA.jpg,1,1,0,1,https://www.facebook.com/aldoruiz.ags,NA,https://twitter.com/aldoruizags4t,NA,NA,1,0,0,1,1,0,0,0
12anaymc,anayeli muñoz moreno,mc,dep,aguascalientes,1,2-aguascalientes,2,0,https://datacenter.sabervotar.mx/public/images/candidatos/430191164-T-1713453748.jpg,https://candidaturas.ine.mx/detalleCandidato/6956/4,40,f,NA,"https://www.facebook.com/anayelimunoz15?mibextid=zbwkwl, https://twitter.com/anayelimunoz, https://www.instagram.com/anayeli.munoz?igsh=aw16ewxkbdv4d2hy, https://www.tiktok.com/anayeli.munoz","durante mi trayectoria profesional y política he buscado consolidar un sistema nacional de cuidados a los ciudadanos e infantes de mi estado, y he tratado de impulsar un arranque parejo para las infancias, garantizando alimentación, salud y educación gratuita desde los 0 a 5 años. seguir avanzando en los derechos laborales para condiciones dignas para las y los trabajadores, así como crear alianzas ciudadanas.","durante mi trayectoria profesional y política he buscado consolidar un sistema nacional de cuidados a los ciudadanos e infantes de mi estado, y he tratado de impulsar un arranque parejo para las infancias, garantizando alimentación, salud y educación gratuita desde los 0 a 5 años. seguir avanzando en los derechos laborales para condiciones dignas para las y los trabajadores, así como crear alianzas ciudadanas.","visibilizar la problemática de las mujeres y personas con capacidad gestante de ejercer la autonomía reproductiva de manera segura, efectiva, gratuita y sin ser criminalizadas. así como coadyuvar con las colectivas feministas para mejorar la calidad de vida de todas las ciudadanas de aguascalientes y del país.",https://candidaturas.ine.mx/cycc/img/fotocandidato/NA.jpg,1,1,0,1,https://www.facebook.com/anayelimunoz15?mibextid=zbwkwl,https://www.instagram.com/anayeli.munoz?igsh=aw16ewxkbdv4d2hy,https://twitter.com/anayelimunoz,NA,https://www.tiktok.com/anayeli.munoz,0,0,0,0,0,1,0,0
11fransig,francisco arturo federico avila anaya,sigamos haciendo historia,dep,aguascalientes,1,1-jesus maria,1,0,https://datacenter.sabervotar.mx/public/images/candidatos/65771501-T-1717106125.jpg,https://candidaturas.ine.mx/detalleCandidato/4710/4,47,m,NA,"https://www.facebook.com/arturoavilamex, https://www.instagram.com/reel/c3vs6xnp0i5/?igsh=mxrlcmw1amhyd2h4nw==, https://www.tiktok.com/t/zt8tbphru/","1. el problema del agua aguascalientes, como gran parte del país, enfrenta una grave sequía. actualmente, las reservas de agua en las presas del estado son alarmantemente bajas debido a la escasa precipitación pluvial registrada durante el último año (2023). según el informe del servicio meteorológico nacional emitido el 15 de enero del presente año, cuatro municipios, asientos, tepezalá, el llano y san francisco de los romos, sufren una sequía severa, mientras que los otros siete municipios del estado, experimentan condiciones de sequía extrema. la situación ha afectado a todo el campo y a las actividades productivas primarias. los productores de guayaba, que dependen principalmente del agua de la presa ordeña vieja, están luchando para mantener sus cultivos a flote. el acceso al agua para el riego se ha vuelto prohibitivamente costoso, ya que la única opción es comprar agua de pozo a un precio de 400 pesos por hora. la crisis se extiende al sector ganadero. la sequía ha hecho que no haya nuevos cultivos, lo que resultará en una escasez y encarecimiento de los forrajes para el ganado, lo que también afectará su actividad comercial. traer alimento desde otros estados no es algo rentable, lo que añade presión económica a las comunidades afectadas por la sequía. agricultores, ganaderos y pobladores están preocupados por la situación, por lo que es imperativo proponer medidas que aborden estas problemáticas y eviten que la crisis hídrica en la entidad empeore aún más. propuestas gestionar en el congreso el recurso de 3 mil millones de pesos de inversión para renovar toda.","2. la seguridad en fechas recientes, aguascalientes está experimentando un aumento en la violencia y la inseguridad. lo anterior es evidenciado por el alarmante incremento de los delitos que más afectan a la sociedad, lo cual representa una amenaza directa para la seguridad y el bienestar de los ciudadanos. en los últimos años, la incidencia delictiva del fuero común en aguascalientes ha ido al alza. en el 2022 la totalidad de delitos alcanzó los 39,570, mientras que en el 2023 cerró con 42,320, un incremento del 6.9. uno pudiera pensar que se debe a una mayor cantidad de delitos en el municipio capital, pero al analizar los datos, encontramos que el mayor incremento de delitos se presentó en los 10 municipios del interior, al pasar de 10,023 en 2022 a 11,083 en el 2023, un incremento del 10.6. en los 10 municipios del interior se presentó un notable incremento del 39.4 en los casos de homicidio doloso y del 34.1 en los delitos relacionados con el narcomenudeo, lo cual refleja una preocupante tendencia hacia la violencia y a la presencia del crimen organizado en aguascalientes. estos datos alarmantes evidencian la necesidad urgente de fortalecer las estrategias de seguridad y aplicación de la ley en la región para prevenir y combatir eficazmente estos delitos. al incremento en estos delitos, se debe también mencionar el preocupante aumento del 85.7 en los casos de extorsión, lo cual representa una grave amenaza para la seguridad y estabilidad de la población. este delito, caracterizado por su impacto económico y psicológico, no solo afecta a las víctimas directas.","3. la salud, la concepción de salud va más allá del mero tratamiento de enfermedades; implica una perspectiva holística que busca promover, proteger y optimizar el bienestar físico, mental y social de los individuos. en este sentido, el sistema de salud pública de aguascalientes debe desempeñar un rol fundamental, no solo ofreciendo servicios médicos, sino también implementando políticas públicas, supervisando la salud poblacional, regulando la sanidad, gestionando emergencias, asignando recursos, garantizando el suministro de insumos médicos y estableciendo mecanismos coordinados para asegurar un acceso equitativo a dichos servicios. recientemente, el instituto nacional de estadística y geografía (inegi) ha publicado las estadísticas de defunciones registradas por entidad federativa correspondientes al año 2022, revelando las cinco principales causas de muerte en aguascalientes. según estos datos, las enfermedades del corazón, la diabetes mellitus, los tumores malignos y los accidentes figuran como las principales causas de fallecimiento en la región. frente a esta realidad, es imperativo consolidar un sistema nacional de salud público, gratuito, universal e integral que garantice el acceso equitativo a todos los servicios de atención médica individual y colectiva, así como a todos los medicamentos e insumos necesarios, sin costo alguno para la población. en compromiso con la mejora del sistema de salud en aguascalientes, propongo las siguientes acciones para abordar las principales problemáticas en la entidad. propuestas: implementar programas de prevención y detecc.",https://candidaturas.ine.mx/cycc/img/fotocandidato/NA.jpg,1,1,0,1,https://www.facebook.com/arturoavilamex,https://www.instagram.com/reel/c3vs6xnp0i5/?igsh=mxrlcmw1amhyd2h4nw==,NA,NA,https://www.tiktok.com/t/zt8tbphru/,1,0,0,1,1,0,0,0
11humbfue,humberto ambriz delgadillo,fuerza y corazon por mexico,dep,aguascalientes,1,1-jesus maria,1,0,https://datacenter.sabervotar.mx/public/images/candidatos/2038315705-T-1713554320.jpg,https://candidaturas.ine.mx/detalleCandidato/4926/4,48,m,NA,"https://www.facebook.com/profile.php?id=727026004&sk, https://twitter.com/humbertoambriz, https://www.instagram.com/@humbertoambrizmx, https://www.tiktok.com/@humberto.ambriz24","agua potable y de calidad para todos. es urgente destinar recursos extraordinarios a los municipios para que cumplan con la norma oficial mexicana (vigilancia y evaluación del control de calidad del agua para uso y consumo humano, distribuida por sistemas de abastecimiento público) donde obliga a cumplir las obligaciones para la vigilancia de la calidad del agua para uso y consumo humano, que tiene como objetivo prevenir la transmisión de enfermedades infecciosas y parasitarias, así como las derivadas de la continua ingestión de sustancias tóxicas que puede contener el agua abastecida a la población. la vigilancia debe consistir en programas estructurados por las autoridades competentes, para evaluar el control de calidad que llevan a cabo los organismos operadores de los sistemas de abastecimiento y, en función de estos programas, apoyarlos a fin de que se garantice el suministro de agua potable a la población.","recursos extraordinarios para el campo ante la sequía. derivado de la emergencia en prácticamente todos los municipios de aguascalientes y en muchos estados de la república por la sequía en el año 2023, se deben aplicar recursos extraordinarios suficientes para los productores agropecuarios. el campo está prácticamente abandonado y principalmente los pequeños productores. es muy importante subsidiar de manera más importante la energía eléctrica para esta actividad de seguridad nacional.","la educación es fundamental para la construcción de nuestra sociedad. a la educación no se le apuesta, porque siempre se gana, se le invierte, y a través de ella se construyen sociedades equitativas, saludables y prósperas. en méxico, más de 4 millones de niños, niñas y adolescentes no asisten a la escuela. de acuerdo al objetivo de desarrollo sostenible 4 de la onu debemos garantizar una educación inclusiva, equitativa y de calidad y promover oportunidades de aprendizaje durante toda la vida para todos, reconoce varios impedimentos para la educación universal y pretende atenderlos por medio de metas para incrementar el número de becas para estudiantes en países en vías de desarrollo y crear infraestructuras educativas sensibles a las cuestiones de género e inclusivas hacia las personas con discapacidad.",https://candidaturas.ine.mx/cycc/img/fotocandidato/NA.jpg,1,1,0,1,https://www.facebook.com/profile.php?id=727026004&sk,https://www.instagram.com/@humbertoambrizmx,https://twitter.com/humbertoambriz,NA,https://www.tiktok.com/@humberto.ambriz24,0,1,1,0,0,0,1,0
13leslsig,leslie mayela figueroa treviño,sigamos haciendo historia,dep,aguascalientes,1,3-aguascalientes,3,0,https://datacenter.sabervotar.mx/public/images/candidatos/1412181758-T-1713286805.jpg,https://candidaturas.ine.mx/detalleCandidato/57241/4,35,f,NA,"https://www.facebook.com/lesliefigueroaags, https://twitter.com/lesinfanta, https://www.instagram.com/les.figueroa.mx/, https://www.tiktok.com/@leslie.fig","una de las principales problemáticas que enfrenta el distrito federal por el que planeo contender es una falla sistemática en los servicios de tratamiento a padecimientos mentales como la depresión, que en 2023 tomo la vida de 140 personas, se pronostica que existen alrededor de 50,000 personas con depresión en el distrito federal por el que planeo contender. la mayor parte de esta población son jóvenes entre 15 y 29 años, los cuales, podrían ser tratados para evitar este tipo de resultados. es por eso que una de mis principales propuestas es la universalización del acceso a la salud mental en méxico, donde exista una institución nacional encargada de investigar, crear protocolos y tratar este tipo de afecciones de una manera gratuita y universal, garantizando el buen desarrollo mental de las juventudes mexicanas. con el fin de evitar más casos de suicidio, esta iniciativa se plantea, sea presentada durante los primeros seis meses de la nueva legislatura federal, para así, otorgar este derecho a las personas que más lo necesitan.","por otra parte, una segunda propuesta de iniciativa estaría orientada a la inclusión de grupos prioritarios en la toma de decisiones, un sector de alrededor de 30,000 personas en el distrito federal qué planeó representar, que se ha dejado de lado por bastante tiempo. es por eso que propongo crear mecanismos para la inclusión legislativa de estos grupos, donde se garantice que exista una representación adecuada de las necesidades que estos plantean, durante lo que sería el primer año de la legislatura federal.","el punto de educación y sensibilización dentro de la iniciativa de ley para la protección y promoción de los derechos de la comunidad de la diversidad sexual se enfoca en crear un entorno educativo inclusivo y respetuoso desde edades tempranas. esto involucra la integración de contenidos relacionados con la diversidad sexual, la identidad de género y el respeto a la orientación sexual en los programas educativos de manera transversal. además, se propone la implementación de estrategias pedagógicas que fomenten la empatía, la comprensión y el rechazo a cualquier forma de discriminación o acoso escolar por motivos de orientación sexual. para lograr una efectiva sensibilización, se plantea el desarrollo de campañas y actividades de concientización tanto dentro de las instituciones educativas como en medios de comunicación y espacios públicos. estas campañas tienen como objetivo principal promover la aceptación, el respeto y la inclusión de la diversidad sexual en la sociedad mexicana. se busca crear un ambiente donde todas las personas, independientemente de su orientación sexual e identidad de género, puedan desarrollarse plenamente sin temor a la discriminación o el rechazo. además, se propone la capacitación del personal educativo en temas de diversidad sexual y género, proporcionándoles herramientas pedagógicas y recursos para abordar de manera adecuada estas temáticas en el aula. esto contribuirá a crear un ambiente educativo seguro y libre de prejuicios, donde se fomente el respeto a la diversidad y se promueva una cultura de inclusión y tolerancia.",https://candidaturas.ine.mx/cycc/img/fotocandidato/NA.jpg,1,1,0,1,https://www.facebook.com/lesliefigueroaags,https://www.instagram.com/les.figueroa.mx/,https://twitter.com/lesinfanta,NA,https://www.tiktok.com/@leslie.fig,1,0,0,1,1,0,0,0
13luzmc,luz camila guerra acevedo,mc,dep,aguascalientes,1,3-aguascalientes,3,0,https://datacenter.sabervotar.mx/public/images/candidatos/1083470338-T-1713554569.jpg,https://candidaturas.ine.mx/detalleCandidato/7110/4,27,f,NA,"https://www.facebook.com/luzcamilaguerr?mibextid=lqqj4d, https://twitter.com/i/flow/login?redirect_after_login=2fluzcamilaguerra, https://instagram.com/luzcamilaguerr?igshid=ogq5zdc2odk2za==, https://www.tiktok.com/@luzcamilaguerr?_t=8kavwlgp9nc&_r=1","propuesta de agenda legislativa en materia de salud mental: garantizaremos el derecho a la salud mental como uno de los ejes de reconstrucción social y comunitaria. esta agenda legislativa busca abordar integralmente los desafíos de salud mental que enfrenta la juventud mexicana, reconociendo la importancia de la prevención, el acceso a servicios de calidad y la promoción del bienestar en diversos aspectos de la vida. 1.	fomento de la educación en salud mental: implementación de programas educativos sobre salud mental en escuelas de todos los niveles educativos, con énfasis en la detección temprana de problemas y la reducción del estigma asociado a las enfermedades mentales. 2. acceso a servicios de salud mental: aumento de recursos destinados a la creación y fortalecimiento de centros de atención psicológica y psiquiátrica en instituciones de salud pública. reducción de las barreras económicas para acceder a tratamientos psicológicos y psiquiátricos a través de la expansión de programas de atención gratuita o de bajo costo. 3. capacitación del personal de salud: implementación de programas de formación continua para el personal de salud, con el objetivo de mejorar la detección y el manejo de trastornos mentales en todas las edades, pero con especial atención a la población juvenil. 4. promoción del bienestar en el ámbito laboral: desarrollo de políticas que fomenten ambientes laborales saludables y la promoción del equilibrio entre trabajo y vida personal.","propuesta de agenda legislativa: innovación y emprendimiento. en el contexto mexicano, las discusiones sobre la transferencia de conocimiento de las instituciones públicas de investigación a las empresas privadas y el desarrollo de proyectos de innovación también han sido temas relevantes. méxico ha buscado fortalecer su ecosistema de innovación y emprendimiento, pero se han identificado desafíos en términos de inversión, colaboración entre el sector público y privado, y la necesidad de abordar problemas socioeconómicos específicos. esta agenda legislativa busca crear un marco propicio para la innovación y el emprendimiento en méxico, abordando tanto la inversión pública como la privada, y promoviendo soluciones para los desafíos actuales del país. 1.incentivos fiscales para la investigación y desarrollo (i+d): establecer incentivos fiscales significativos para las empresas que inviertan en actividades de investigación y desarrollo. crear mecanismos que faciliten la colaboración entre instituciones de investigación públicas y empresas privadas. 2.fondos de innovación: crear fondos específicos para financiar proyectos de innovación, con un enfoque en soluciones para desafíos socioeconómicos como el cambio climático, la desigualdad y la pobreza. establecer mecanismos transparentes y eficientes para la asignación de estos fondos, fomentando la competencia y la calidad de los proyectos. 3.promoción de la movilidad empresarial: facilitar la movilidad de talento entre el sector académico, el gubernamental y el empresarial.","propuesta en materia de género: el futuro de méxico será con y para las mujeres. en movimiento ciudadano buscamos erradicar las violencias institucionales, las desigualdades y los estereotipos de género que obstaculizan el desarrollo, los derechos y las libertades de las mujeres. creación de un sistema nacional de cuidados, que las proteja y permita insertar en el mercado laboral, que incluya entre otras cosas: renumerar y dignificar la labor de cuidados. reconocer los derechos de las personas usuarias del sistema de cuidados. ampliar las licencias de paternidad y maternidad. crear una red para el cuidado de personas dependientes, como guarderías, centros comunitarios para adultos de la tercera edad y personas con discapacidad. igualdad salarial entre hombres y mujeres. impulsar la igualdad salarial, fijando salarios con criterios objetivos e igualitarios. justicia laboral para las mujeres. garantizar la paridad en los puestos de alto mando y de primer nivel en la administración pública y promover la participación real de las mujeres en los órganos directivos del sector privado. homologar el delito de feminicidio. codificar y homologar el feminicidio en todos los estados y que las medidas de protección sean una garantía. fiscalías locales especializadas en violencia de género. que existan protocolos de investigación y atención a víctimas efectivos y homologados en todo el país. erradicar los sobreprecios en razón de género. seguiremos insistiendo en eliminar los sobreprecios en razón de género.",https://candidaturas.ine.mx/cycc/img/fotocandidato/NA.jpg,1,1,0,1,https://www.facebook.com/luzcamilaguerr?mibextid=lqqj4d,NA,https://twitter.com/i/flow/login?redirect_after_login=2fluzcamilaguerra,NA,https://www.tiktok.com/@luzcamilaguerr?_t=8kavwlgp9nc&_r=1,0,0,0,0,0,1,0,0
12monifue,monica becerra moreno,fuerza y corazon por mexico,dep,aguascalientes,1,2-aguascalientes,2,1,https://datacenter.sabervotar.mx/public/images/candidatos/158244022-T-1713558969.jpg,https://candidaturas.ine.mx/detalleCandidato/4910/4,51,f,NA,"https://www.facebook.com/share/qgbybbb6im1rfnwg/?mibextid=qi2omg, https://www.instagram.com/agsmonibecerra?igsh=nhawnxrremrjawft, https://www.tiktok.com/@agsmonibecerra?_t=8khv6bqy6nv&_r=1","los primeros años de los bebés pueden ser complicados para las familias mexicanas, es por eso, que una de mis principales propuestas es que se cuente con vales de atención para primera infancia para que pueda existir una igualdad de oportunidades en el desarrollo infantil y que su creciemiento no se vea afectado.","becas para la obtención de tu título universitario. los jóvenes son parte importante para el crecimiento del país, son quienes con trabajo y esfuerzo de sus familias logran acabar una licenciatura. sin embargo, es importante que los impulsemos a continuar con sus estudios y obtener el título que los acredita como licenciados, por eso mismo, una de las propuestas es apoyarlos para que puedan tenerlo de manera pronta y a un menor costo y con ello, que tengan acceso a mejores puestos.","las mujeres y grupos vulnerados son una población importante en nuestra sociedad y en muchas ocasiones no pueden contar con trabajos dignos o en su caso con atención a la salud, por eso mismo, una de mis propuestas es que puedan contar con seguro médico de buena calidad y atención y que, el acceso a los medicamentos para las familias sea oportuno, que la salud ya no sea un juego y que tengan garantizado ese derecho.",https://candidaturas.ine.mx/cycc/img/fotocandidato/NA.jpg,1,1,0,1,https://www.facebook.com/share/qgbybbb6im1rfnwg/?mibextid=qi2omg,https://www.instagram.com/agsmonibecerra?igsh=nhawnxrremrjawft,NA,NA,https://www.tiktok.com/@agsmonibecerra?_t=8khv6bqy6nv&_r=1,0,1,1,0,0,0,1,0
13paulpan,paulo gonzalo martinez lopez,pan,dep,aguascalientes,1,3-aguascalientes,3,1,https://datacenter.sabervotar.mx/public/images/candidatos/706337764-T-1713230905.jpg,https://candidaturas.ine.mx/detalleCandidato/7650/4,47,m,NA,"https://www.facebook.com/paulomartinezags, https://www.twitter.com/paulomartinezl, https://www.instagram.com/paulomartinez1, https://www.tiktok.com/paulomartinezags","fortalecimiento de la seguridad a nivel nacional, para que contemos con una policía federal de carácter civil, que esté capacitada y entrenada para el cuidado de las carreteras federales; además del fortalecimiento de las policías estatales y municipales para que cuenten con recursos que les permita tener su equipamiento, adiestramiento, capacitación para el mejor desempeño de sus funciones y cuidado de la población en riesgo.","en materia social existe un pendiente de atención a los adultos mayores, dicho programa de pensión para adultos mayores vamos a fortalecerlo para que cuente con los recursos necesarios y se otorgue el benefició desde los 60 años para que desde una edad más temprana cuenten con este beneficio y así tengan una mejor calidad de vida.","un sector que requiere más impulso es la juventud, que se cuente con oportunidades de desarrollo y crecimiento para que puedan acceder a recursos para emprendimiento que genere economía y oportunidades de empleo. adicionalmente, la creación de un programa de becas de estudio en el extranjero y los conocimientos adquiridos los puedan aplicar en su lugar de residencia.",https://candidaturas.ine.mx/cycc/img/fotocandidato/NA.jpg,1,1,0,1,https://www.facebook.com/paulomartinezags,https://www.instagram.com/paulomartinez1,NA,NA,https://www.tiktok.com/paulomartinezags,0,1,0,0,0,0,0,0
13sanjprd,sanjuana martinez melendez,prd,dep,aguascalientes,1,3-aguascalientes,3,0,https://datacenter.sabervotar.mx/public/images/candidatos/1472549347-T-1713284837.jpg,https://candidaturas.ine.mx/detalleCandidato/44538/4,49,f,NA,NA,NA,NA,NA,https://candidaturas.ine.mx/cycc/img/fotocandidato/NA.jpg,1,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,0
