file,image_type,face_id,dominant_1,percent_1,dominant_2,percent_2,skin_tone,tone_label,accuracy(0-100),source
10danipve.jpg,color,1.0,#C88C65,0.59,#814E34,0.41,#A0765A,5.0,88.02,ine
10jorgmc.jpg,color,1.0,#DC9D81,0.65,#7F4C38,0.35,#B1886C,7.0,85.46,ine
10juanpan.jpg,color,1.0,#CEA08F,0.83,#8A6157,0.17,#BE9D86,9.0,91.5,ine
10maripan.jpg,color,1.0,#C59A8E,0.74,#6D564D,0.26,#B69279,8.0,88.23,ine
10norapve.jpg,color,1.0,#AC857A,0.82,#5B3D37,0.18,#A87F64,6.0,89.4,ine
10saramc.jpg,color,1.0,#B19384,0.77,#854540,0.23,#B69279,8.0,90.34,ine
11franpve.jpg,color,1.0,#D8A59F,0.62,#835E59,0.38,#B69279,8.0,84.21,ine
11humbpan.jpg,color,1.0,#DAAE92,0.74,#90634A,0.26,#C5A691,10.0,90.63,ine
11ulismc.jpg,color,1.0,#C37F5D,0.69,#8C5736,0.31,#A0765A,5.0,90.67,ine
12aldopve.jpg,color,1.0,#D09A84,0.7,#815E50,0.3,#B69279,8.0,88.91,ine
12anaymc.jpg,color,1.0,#C99C82,0.54,#7C5444,0.46,#A87F64,6.0,86.85,ine
12monipan.jpg,color,1.0,#CC9D85,0.69,#6E5042,0.31,#B69279,8.0,88.01,ine
13adripri,13adripri.jpg is not found or is not a valid image.,,,,,,,,,ine
13leslpve.jpg,color,1.0,#CFA28D,0.55,#7B5442,0.45,#A87F64,6.0,85.74,ine
13luzmc.jpg,color,1.0,#D59D83,0.76,#875344,0.24,#B69279,8.0,88.65,ine
13paulpan.jpg,color,1.0,#CF9C86,0.77,#7F5C4A,0.23,#B69279,8.0,90.21,ine
13sanjprd,13sanjprd.jpg is not found or is not a valid image.,,,,,,,,,ine
20armamor.jpg,color,1.0,#7E4D3A,0.61,#CE9475,0.39,#876249,3.0,87.02,ine
20davimc,20davimc.jpg is not found or is not a valid image.,,,,,,,,,ine
20doramc,20doramc.jpg is not found or is not a valid image.,,,,,,,,,ine
20guadpan.jpg,color,1.0,#D89F94,0.77,#6F4E3A,0.23,#B69279,8.0,85.4,ine
20gustpan.jpg,color,,#6D6F6A,0.58,#CCCCBF,0.42,#C8AC99,11.0,78.7,ine
20jaimpt.jpg,color,,#CEA29C,0.63,#AB7B75,0.37,#BE9D86,9.0,88.94,ine
20janept.jpg,color,1.0,#C47F72,0.73,#784641,0.27,#A87F64,6.0,86.53,ine
20juanpve.jpg,color,1.0,#C38C7A,0.7,#67463A,0.3,#A87F64,6.0,87.23,ine
20julimor.jpg,color,1.0,#CB9B95,0.84,#6C4946,0.16,#BE9D86,9.0,86.05,ine
20monipve.jpg,color,1.0,#D1A691,0.74,#6A4D3C,0.26,#C5A691,10.0,88.36,ine
21almamc,21almamc.jpg is not found or is not a valid image.,,,,,,,,,ine
21almamor.jpg,color,1.0,#C9998C,0.54,#7A534C,0.46,#A87F64,6.0,85.02,ine
21cesapve.jpg,color,1.0,#CEA391,0.61,#745244,0.39,#B69279,8.0,85.63,ine
21evapan.jpg,color,1.0,#E2B69F,0.62,#694940,0.38,#C5A691,10.0,82.21,ine
21evapt.jpg,color,,#C69B7A,0.73,#7D5238,0.27,#B69279,8.0,90.32,ine
22carlpan.jpg,color,1.0,#A27C4A,0.54,#6A3F15,0.46,#946C51,4.0,87.31,ine
22concmc,22concmc.jpg is not found or is not a valid image.,,,,,,,,,ine
22mayrpve.jpg,color,1.0,#DBA493,0.69,#805E51,0.31,#BE9D86,9.0,86.89,ine
22nancmor.jpg,color,1.0,#CDA28E,0.7,#704F3C,0.3,#BE9D86,9.0,87.83,ine
22rosapt.jpg,color,,#C19D82,0.58,#805C40,0.42,#B69279,8.0,89.41,ine
23claumor.jpg,color,1.0,#DA9F7E,0.54,#7A564A,0.46,#A87F64,6.0,85.4,ine
23luismc,23luismc.jpg is not found or is not a valid image.,,,,,,,,,ine
23matipve.jpg,color,1.0,#C39571,0.6,#644B3D,0.4,#B1886C,7.0,86.71,ine
23ramipt.jpg,color,,#BF8D78,0.62,#825745,0.38,#A87F64,6.0,89.76,ine
23raympan.jpg,color,1.0,#F0BCA3,0.54,#8C5746,0.46,#B1886C,7.0,82.87,ine
24catamc,24catamc.jpg is not found or is not a valid image.,,,,,,,,,ine
24elsapve.jpg,color,1.0,#D7AA93,0.7,#6F5449,0.3,#C5A691,10.0,87.28,ine
24erikpan.jpg,color,1.0,#BB9073,0.86,#624432,0.14,#B69279,8.0,93.79,ine
24rocimor,24rocimor.jpg is not found or is not a valid image.,,,,,,,,,ine
24sergpt.jpg,color,1.0,#D1A180,0.68,#835B43,0.32,#B69279,8.0,89.08,ine
25alfopan.jpg,color,1.0,#C58B71,0.62,#956450,0.38,#A87F64,6.0,91.69,ine
25evanmor.jpg,color,1.0,#845145,0.5,#D29081,0.5,#A0765A,5.0,85.44,ine
25hectmc,25hectmc.jpg is not found or is not a valid image.,,,,,,,,,ine
25josept.jpg,color,,#CC9E88,0.67,#9A6C5A,0.33,#B69279,8.0,91.72,ine
25renepve.jpg,color,1.0,#DDA09D,0.64,#8D5F5E,0.36,#B69279,8.0,83.34,ine
26anapve.jpg,color,1.0,#D7B4A8,0.63,#7C5E53,0.37,#C8AC99,11.0,86.46,ine
26gilbmor.jpg,color,1.0,#D09273,0.61,#7A513C,0.39,#A87F64,6.0,87.25,ine
26hectpt.jpg,color,,#CA9F8C,0.69,#946E5D,0.31,#BE9D86,9.0,91.84,ine
26jaimpan.jpg,color,,#8E675E,0.51,#D5A99D,0.49,#A87F64,6.0,86.74,ine
26marcmc,26marcmc.jpg is not found or is not a valid image.,,,,,,,,,ine
27estept.jpg,color,1.0,#B88874,0.77,#754D40,0.23,#B1886C,7.0,91.15,ine
27josemor.jpg,color,1.0,#994637,0.7,#EDA7A2,0.3,#946C51,4.0,82.19,ine
27laurmc,27laurmc.jpg is not found or is not a valid image.,,,,,,,,,ine
27mildpan.jpg,color,,#B28A79,0.6,#EA0406,0.4,#B1886C,7.0,87.41,ine
27pacopve.jpg,color,1.0,#C1836D,0.79,#764B3D,0.21,#A87F64,6.0,89.92,ine
28fauspve.jpg,color,,#E8BC9B,0.6,#99664A,0.4,#C5A691,10.0,86.89,ine
28hectpan,28hectpan.jpg is not found or is not a valid image.,,,,,,,,,ine
28oscamc,28oscamc.jpg is not found or is not a valid image.,,,,,,,,,ine
29claupve.jpg,color,1.0,#AB7866,0.59,#644036,0.41,#946C51,4.0,88.16,ine
29hildmor,29hildmor.jpg is not found or is not a valid image.,,,,,,,,,ine
29leslmc,29leslmc.jpg is not found or is not a valid image.,,,,,,,,,ine
29maript.jpg,color,,#D5A380,0.72,#996444,0.28,#BE9D86,9.0,90.44,ine
29raulpan.jpg,color,,#D3AC94,0.64,#B07D66,0.36,#C5A691,10.0,93.33,ine
30alvamc,30alvamc.jpg is not found or is not a valid image.,,,,,,,,,ine
30antopan.jpg,color,1.0,#B38568,0.63,#815038,0.37,#A87F64,6.0,91.68,ine
30homepve.jpg,color,,#C18E76,0.6,#865C4A,0.4,#A87F64,6.0,90.31,ine
30jesupve.jpg,color,1.0,#72541F,0.57,#A88760,0.43,#946C51,4.0,87.43,ine
30marimc,30marimc.jpg is not found or is not a valid image.,,,,,,,,,ine
30susapan.jpg,color,1.0,#D6A181,0.77,#764933,0.23,#BE9D86,9.0,88.23,ine
31armapan.jpg,color,,#D6A590,0.53,#8E6150,0.47,#B1886C,7.0,87.54,ine
31gabrmc,31gabrmc.jpg is not found or is not a valid image.,,,,,,,,,ine
31manupve.jpg,color,1.0,#BA836F,0.54,#644135,0.46,#A0765A,5.0,85.99,ine
32jesumc,32jesumc.jpg is not found or is not a valid image.,,,,,,,,,ine
32luispve.jpg,color,1.0,#8A5439,0.58,#CE9F80,0.42,#946C51,4.0,87.51,ine
32margpan.jpg,color,1.0,#D79376,0.62,#8D553A,0.38,#B1886C,7.0,87.5,ine
40anibpve.jpg,color,1.0,#A66B57,0.64,#603C2F,0.36,#946C51,4.0,89.03,ine
40dulcmc.jpg,color,1.0,#E39676,0.65,#864A34,0.35,#B1886C,7.0,84.87,ine
40karlpan.jpg,color,1.0,#DCA795,0.72,#74443A,0.28,#BE9D86,9.0,84.52,ine
40lydipan.jpg,color,1.0,#6B493B,0.51,#BB927B,0.49,#946C51,4.0,86.17,ine
40maripve,40maripve.jpg is not found or is not a valid image.,,,,,,,,,ine
41chrimc.jpg,color,1.0,#E5A598,0.6,#8D5A49,0.4,#B1886C,7.0,84.31,ine
41eldapve,41eldapve.jpg is not found or is not a valid image.,,,,,,,,,ine
41migupan.jpg,color,1.0,#C48871,0.86,#7B5347,0.14,#B1886C,7.0,91.38,ine
42cecipan.jpg,color,1.0,#DBB19C,0.58,#866156,0.42,#C5A691,10.0,86.98,ine
42franmc.jpg,color,1.0,#CF987F,0.56,#7F5647,0.44,#A87F64,6.0,87.05,ine
42gabrpve.jpg,color,1.0,#B07F71,0.79,#77534D,0.21,#A87F64,6.0,90.69,ine
50cecipve.jpg,color,1.0,#9A7168,0.69,#6B4B43,0.31,#946C51,4.0,89.64,ine
50jorgmc,50jorgmc.jpg is not found or is not a valid image.,,,,,,,,,ine
50luispve.jpg,color,1.0,#D79E82,0.71,#6D463C,0.29,#B69279,8.0,85.99,ine
50maripan.jpg,color,1.0,#D89E93,0.62,#6D4436,0.38,#A87F64,6.0,82.48,ine
50migupan.jpg,color,1.0,#C2978D,0.82,#87625B,0.18,#B69279,8.0,90.11,ine
50valemc,50valemc.jpg is not found or is not a valid image.,,,,,,,,,ine
51brigpve.jpg,color,1.0,#CC998A,0.59,#906454,0.41,#A87F64,6.0,88.71,ine
51eunimc,51eunimc.jpg is not found or is not a valid image.,,,,,,,,,ine
51sonipan.jpg,color,1.0,#D0A8A0,0.77,#6E5148,0.23,#C5A691,10.0,86.78,ine
52almapan.jpg,color,,#D59D77,0.66,#7E4D3A,0.34,#B1886C,7.0,86.72,ine
52franpve.jpg,color,,#E0DCD2,0.75,#646661,0.25,#C8AC99,11.0,81.4,ine
52humbmc,52humbmc.jpg is not found or is not a valid image.,,,,,,,,,ine
53eugemc,53eugemc.jpg is not found or is not a valid image.,,,,,,,,,ine
53laurpve.jpg,color,,#CD9C87,0.66,#6E4B3F,0.34,#B69279,8.0,86.21,ine
53theopan.jpg,color,1.0,#D99981,0.71,#A97361,0.29,#B1886C,7.0,90.57,ine
54josemc,54josemc.jpg is not found or is not a valid image.,,,,,,,,,ine
54josepve.jpg,color,1.0,#CCA490,0.72,#6E5C53,0.28,#BE9D86,9.0,89.7,ine
54yeripan.jpg,color,1.0,#825846,0.53,#5F382A,0.47,#775741,2.0,92.41,ine
55josepan.jpg,color,1.0,#D79D84,0.75,#996853,0.25,#B69279,8.0,90.38,ine
55josepve.jpg,color,1.0,#CE9886,0.72,#8B6458,0.28,#B69279,8.0,89.55,ine
55juanmc,55juanmc.jpg is not found or is not a valid image.,,,,,,,,,ine
56cintpve.jpg,color,1.0,#D4AE9C,0.81,#68483C,0.19,#C5A691,10.0,89.72,ine
56hectpan.jpg,color,1.0,#CE9891,0.81,#835C58,0.19,#B69279,8.0,86.79,ine
56irmamc,56irmamc.jpg is not found or is not a valid image.,,,,,,,,,ine
57aidamc,57aidamc.jpg is not found or is not a valid image.,,,,,,,,,ine
57antopve.jpg,color,,#AF7667,0.55,#6D4940,0.45,#946C51,4.0,87.98,ine
57jaimpan.jpg,color,1.0,#B28376,0.59,#F1C0AF,0.41,#B69279,8.0,89.18,ine
58estemc,58estemc.jpg is not found or is not a valid image.,,,,,,,,,ine
58hildpve.jpg,color,,#C7A192,0.54,#7C5848,0.46,#A87F64,6.0,86.19,ine
58raulpan.jpg,color,1.0,#EBC1B4,0.7,#7E5E58,0.3,#C8AC99,11.0,85.64,ine
60anapve.jpg,color,1.0,#CD906D,0.73,#6F4030,0.27,#B1886C,7.0,87.99,ine
60germpan,60germpan.jpg is not found or is not a valid image.,,,,,,,,,ine
60grismc.jpg,color,1.0,#E49F74,0.83,#8F5943,0.17,#B69279,8.0,88.08,ine
60josemc.jpg,color,1.0,#C98672,0.73,#7D4E40,0.27,#A87F64,6.0,88.14,ine
60melypan.jpg,color,,#E8AD93,0.73,#724A42,0.27,#C5A691,10.0,84.53,ine
60virgpve.jpg,color,1.0,#DE967B,0.63,#8F5947,0.37,#B1886C,7.0,86.95,ine
61crispan.jpg,color,1.0,#CA9886,0.53,#8F6351,0.47,#A87F64,6.0,89.29,ine
61leonpve.jpg,color,1.0,#D99D8C,0.6,#9A6959,0.4,#B1886C,7.0,88.58,ine
61romemc,61romemc.jpg is not found or is not a valid image.,,,,,,,,,ine
62gricpve.jpg,color,,#786146,0.62,#CCB29B,0.38,#876249,3.0,86.14,ine
62marimc.jpg,color,1.0,#D6A19E,0.92,#6A4F52,0.08,#C5A691,10.0,86.73,ine
62nazapan.jpg,color,1.0,#D4A287,0.53,#84513E,0.47,#A87F64,6.0,85.42,ine
70edwipt.jpg,color,1.0,#DDAE96,0.68,#7A5446,0.32,#C5A691,10.0,86.57,ine
70flormc.jpg,color,,#7D4636,0.57,#C38F81,0.43,#876249,3.0,85.23,ine
70josemor.jpg,color,,#DDAA99,0.7,#9C736F,0.3,#C5A691,10.0,89.3,ine
70letipt.jpg,color,1.0,#DDA489,0.7,#9C6B56,0.3,#BE9D86,9.0,89.84,ine
70luispve.jpg,color,1.0,#D9A684,0.55,#92664C,0.45,#B1886C,7.0,88.86,ine
