ent,p160101_codigohex,r_rgbd,g_rgbd,b_rgbd,proder_label
1,A57261,165,114,97,7
1,9A6C57,154,108,87,8
1,AB7F65,160,110,91,7
1,A47464,164,116,100,7
1,AF8372,175,131,114,5
1,9A6754,154,103,84,8
1,A77D6C,167,125,108,6
1,AB7664,171,118,100,6
1,A77A68,167,122,104,6
1,B0806B,154,103,82,8
1,B0806F,176,128,111,5
1,B07F6F,176,127,111,5
1,916450,145,100,80,8
1,9B6B56,155,107,86,8
1,B2846E,178,132,110,5
1,9C6D5A,156,109,90,7
1,A9745E,169,116,94,7
1,AC7D6E,172,125,110,6
1,C29885,194,152,133,3
1,9E6B58,158,107,88,7
1,955B54,149,91,84,8
1,936954,147,105,84,8
1,9B6654,155,102,84,8
1,A2705D,162,112,93,7
1,74483F,116,72,63,10
1,916450,145,100,80,8
1,8F6152,143,97,82,9
1,9D6F5E,157,111,94,7
1,C49282,196,146,130,3
1,986350,152,99,80,8
1,A2705A,162,112,90,7
1,895C49,137,92,73,9
1,A5725F,165,114,95,7
1,9F6D5A,159,109,90,7
1,B2806B,178,128,107,5
1,9D715D,157,113,93,7
1,996B5D,153,107,93,8
1,9D6B5E,157,107,94,7
1,976C5B,151,108,91,8
11,996A58,153,106,88,8
11,9C685A,156,104,90,8
11,7D5851,125,88,81,9
11,9D6B58,157,107,88,8
11,A26D5A,162,109,90,7
11,9F6B57,159,107,87,7
11,AD7B63,173,123,99,6
11,8E564F,142,86,79,9
11,AB7B66,171,123,102,6
11,926650,146,102,80,8
11,A3725E,163,114,94,7
11,A87461,168,116,97,7
11,B48875,180,136,117,5
11,B78874,183,136,116,5
11,C18C7A,193,140,122,4
11,BE8C7A,190,140,122,4
11,B58977,181,137,119,4
11,B07D68,176,125,104,6
11,976353,151,99,83,8
11,9C6B55,156,107,85,8
11,A46E5F,164,110,95,7
11,986652,152,102,82,8
11,C59380,197,147,128,3
11,8B5B53,139,91,83,9
11,A87461,168,116,97,7
11,774F3E,119,79,62,10
11,BA9176,186,145,118,4
11,956550,149,101,80,8
11,C8A389,200,163,137,2
11,8A5B4D,138,91,77,9
11,A26F5C,162,111,92,7
11,926552,146,101,82,8
11,875A4C,135,90,76,9
11,9F6D60,159,109,96,7
11,A06B58,160,107,88,7
11,AC7E67,172,126,103,6
11,9A6F5E,154,111,94,7
11,A67A61,166,122,97,6
11,7F5146,127,81,70,10
11,966251,150,98,81,8
11,A46C5B,164,108,91,7
11,AB7D64,171,125,100,6
11,8F6652,143,102,82,8
11,8D6652,141,102,82,8
11,A67A64,166,122,100,6
11,A06B57,160,107,87,7
11,8F6350,143,99,80,8
11,A0675A,160,103,90,7
11,8E6351,142,99,81,9
11,BB8E7A,187,142,122,4
11,9F6A5D,159,106,93,7
11,A6745D,166,116,93,7
11,B0806B,176,128,107,5
11,A67561,166,117,97,7
11,A7745C,167,116,92,7
11,AE7E6E,174,126,110,5
11,986C5C,152,108,92,8
11,AD7C69,173,124,105,6
11,956357,149,99,87,8
11,A5735E,165,115,94,7
11,946855,148,104,85,8
11,A36E58,163,110,88,7
11,916050,145,96,80,9
11,9B695A,155,105,90,8
11,B37F65,179,127,101,6
11,A06A58,160,106,88,7
11,A97661,169,118,97,6
11,AF7E68,175,126,104,6
11,A3745E,163,116,94,7
11,BC826E,188,130,110,5
11,B07E67,176,126,103,6
11,8B6054,139,96,84,9
11,B2836C,178,131,108,5
11,A5715E,165,113,94,7
11,9C6856,156,104,86,8
11,A16F5C,161,111,92,7
11,A67865,166,120,101,6
11,8E614E,142,97,78,9
11,946652,148,102,82,8
11,A47659,164,118,89,7
11,946C55,148,108,85,8
11,AD7B64,173,123,100,6
11,AC7860,172,120,96,6
11,82674C,130,103,76,9
11,B2846A,178,132,106,5
11,B78B73,183,139,115,4
11,A3755D,163,117,93,7
11,D4A088,212,160,136,2
11,A77760,167,119,96,6
11,775F53,119,95,83,9
11,CDAA8D,205,170,141,2
11,DAB9A2,218,185,162,1
11,946551,148,101,81,8
11,9B6A54,155,106,84,8
11,C8A58A,200,165,138,2
11,B68E70,182,142,112,5
11,9E6C57,158,108,87,7
11,C29B80,194,155,128,3
11,D1B096,209,176,150,1
11,A97860,169,120,96,6
11,74524A,116,82,74,10
11,AB7E6D,171,126,109,6
11,A7755E,167,117,94,7
11,B28070,178,128,112,5
11,896A53,137,106,83,8
11,936550,147,101,80,8
11,996651,153,102,81,8
11,B58A70,181,138,112,5
11,BA8471,186,132,113,5
11,A67766,166,119,102,6
11,AE836D,174,131,109,5
11,B27D6D,178,125,109,5
11,90644F,144,100,79,8
11,92664F,146,102,79,8
11,D2AE94,210,174,148,1
11,A77861,167,120,97,6
11,946651,148,102,81,8
11,AF7D6E,175,125,110,5
11,936754,147,103,84,8
11,826552,130,101,82,9
11,C7A48A,199,164,138,2
11,D7BAA3,215,186,163,1
11,A16B58,161,107,88,7
11,A07E68,160,126,104,6
11,C29A7F,194,154,127,3
11,987157,152,113,87,8
11,A7755B,167,117,91,7
11,94644D,148,100,77,8
11,906250,144,98,80,8
11,935F4F,147,95,79,8
11,946754,148,103,84,8
11,A48170,164,129,112,6
11,8E6654,142,102,84,8
11,865849,134,88,73,9
11,9C6C57,156,108,87,8
11,B08570,176,133,112,5
11,A97564,169,117,100,6
11,946251,148,98,81,8
11,905B4B,144,91,75,9
11,996553,153,101,83,8
11,A57965,165,121,101,6
11,C6977F,198,151,127,3
11,915D4F,145,93,79,9
11,996D5C,153,109,92,7
11,9B6759,155,103,89,8
11,976552,151,101,82,8
11,9A6656,154,102,86,8
11,9A6550,154,101,80,8
11,A77562,167,117,98,6
11,A77B69,167,123,105,6
11,967058,150,112,88,8
11,B89075,184,144,117,4
11,9B6A57,155,106,87,8
11,99715A,153,113,90,7
11,A37460,163,116,96,7
11,9C7057,156,112,87,7
11,9C6954,156,105,84,8
11,A97362,169,115,98,6
11,B88878,184,136,120,4
11,A87A6C,168,122,108,6
11,926650,146,102,80,8
11,A47D61,164,125,97,6
11,9F775B,159,119,91,7
11,D3B297,211,178,151,1
11,8E655A,142,101,90,8
11,996653,153,102,83,8
11,AC7963,172,121,99,6
11,A0795C,160,121,92,7
11,AD7664,173,118,100,6
11,816256,129,98,86,9
11,B8896F,184,137,111,5
11,79584F,121,88,79,10
11,7E4C43,126,76,67,10
11,CAA68B,202,166,139,2
11,856652,133,102,82,9
11,AE8067,174,128,103,6
11,946750,148,103,80,8
11,7A4D42,122,77,66,10
11,91634F,145,99,79,8
11,805E4B,128,94,75,9
11,905B4B,144,91,75,9
11,9F6D57,159,109,87,7
11,8E5B4D,142,91,77,9
