state,name,party
Aguascalientes,Martha Márquez Alvarado,pan
Aguascalientes,Juan Antonio Martín del Campo,pan
Aguascalientes,Daniel Gutiérrez Castorena,morena
Baja California,Jaime Bonilla Valdez,pt
Baja California,Alejandra León Gastélum,mc
Baja California,Gina Cruz Blackledge,pan
Baja California Sur,Víctor Manuel Castro Cosío,morena
Baja California Sur,Lucía Trasviña Waldenrath,morena
Baja California Sur,Guadalupe Saldaña Cisneros,pan
Campeche,Aníbal Ostoa Ortega,morena
Campeche,Cecilia Margarita Sánchez García,pri
Campeche,Rocío Abreu Artiñano,morena
Chiapas,Eduardo Ramírez Aguilar,morena
Chiapas,Sasil de León Villard,morena
Chiapas,Noé Castañón Ramírez,mc
Chihuahua,Bertha Caraveo Camarena,morena
Chihuahua,Cruz Pérez Cuéllar,morena
Chihuahua,Gustavo Madero Muñoz,ind
Coahuila,Armando Guadiana Tijerina,morena
Coahuila,Eva Galaz Caletti,morena
Coahuila,Verónica Martínez García,pri
Colima,Joel Padilla Peña,pt
Colima,Gricelda Valencia de la Mora,morena
Colima,Gabriela Benavides Cobos,pvem
Durango,Alejandro González Yáñez,pt
Durango,Margarita Valdéz Martínez,morena
Durango,José Ramón Enríquez Herrera,morena
Guanajuato,Alejandra Reynoso Sánchez,pan
Guanajuato,Erandi Bermúdez Méndez,pan
Guanajuato,Martha Lucía Mícher Camarena,morena
Guerrero,Félix Salgado Macedonio,morena
Guerrero,Nestora Salgado,morena
Guerrero,Manuel Añorve Baños,pri
Hidalgo,Angélica García Arrieta,morena
Hidalgo,Julio Menchaca Salazar,morena
Hidalgo,Nuvia Mayorga Delgado,pvem
Jalisco,Clemente Castañeda Hoeflich,mc
Jalisco,Verónica Delgadillo García,mc
Jalisco,María Antonia Cárdenas Mariscal,mc
México,Delfina Gómez Álvarez,morena
México,Higinio Martínez Miranda,morena
México,Juan Zepeda Hernández,mc
Michoacán,Blanca Estela Piña Gudiño,morena
Michoacán,Cristóbal Arias Solís,morena
Michoacán,Antonio García Conejo,prd
Morelos,Lucía Meza Guzmán,pri
Morelos,Radamés Salazar Solorio,morena
Morelos,Ángel García Yáñez,pri
Nayarit,Cora Cecilia Pinedo Alonso,pt
Nayarit,Rosa Elena Jiménez Arteaga,morena
Nayarit,Gloria Núñez Sánchez,mc
Nuevo León,Samuel García Sepúlveda,mc
Nuevo León,Indira Kempis Martínez,pri
Nuevo León,Víctor Fuentes Solís,pan
Oaxaca,Susana Harp Iturribarría,morena
