state,district,name,party,type
Aguascalientes,1,Noel Mata Atilano,pan,mr
Aguascalientes,2,Mónica Becerra Moreno,pan,mr
Aguascalientes,3,Paulo Gonzalo Martínez López,pan,mr
Baja California,1,Yesenia Olúa González,morena,mr
Baja California,2,Julieta Ramírez Padilla,morena,mr
Baja California,3,Armando Reyes Ledesma,pt,mr
Baja California,4,Irma Andazola Gómez,morena,mr
Baja California,5,Evangelina Moreno Guerra,morena,mr
Baja California,6,Héctor Mares Cossío,morena,mr
Baja California,7,Isaías Bertín Sandoval,morena,mr
Baja California,8,Fausto Gallardo García,pvem,mr
Baja California Sur,1,Marco Antonio Almendáriz Puppo,pan,mr
Baja California Sur,2,Alfredo Porras Domínguez,morena,mr
Campeche,1,José Luis Flores Pacheco,mc,mr
Campeche,2,María Sierra Damián,morena,mr
Chiapas,1,Manuela Obrador Narváez,morena,mr
Chiapas,2,Adela Ramos Juárez,pan,mr
Chiapas,3,Alfredo Vázquez Vázquez,morena,mr
Chiapas,4,Joaquín Zebadúa Alva,morena,mr
Chiapas,5,Yeimi Aguilar Cifuentes,pri,mr
Chiapas,6,Jorge Llaven Abarca,morena,mr
Chiapas,7,Manuel Narcia Coutiño,morena,mr
Chiapas,8,Ismael Brito Mazariegos,morena,mr
Chiapas,9,Adriana Bustamante Castellanos,morena,mr
Chiapas,10,Juan Pablo Montes de Oca Avendaño,pvem,mr
Chiapas,11,Roberto Rubio Montejo,pvem,mr
Chiapas,12,José Luis Elorza Flores,morena,mr
Chiapas,13,Luis Armando Melgar Bravo,pvem,mr
Chihuahua,1,Daniel Murguía Lardizábal,morena,mr
Chihuahua,2,Maité Vargas Meraz,morena,mr
Chihuahua,3,Lilia Aguilar Gil,pt,mr
Chihuahua,4,Daniela Álvarez Hernández,pan,mr
Chihuahua,5,Mario Mata Carrasco,pan,mr
Chihuahua,6,Laura Contreras Duarte,pan,mr
Chihuahua,7,Patricia Terrazas Baca,pan,mr
Chihuahua,8,Rocío González Alonso,pan,mr
